X,Y,lat,lon,season,segment,frm,utc_date,utc_time,gps_time,Dist,elev,surface,Eqip,bottom,WGS84_ATM,ATM_Eqip,ATM_Bottom
-184567.090891745,-2228221.97326535,69.571554,-49.735089,2008_Greenland_TO,20080710_05,11,2008/07/10,19:26:54,1215718027.881,0,1759.546,959.59,314.95,230.48,957.501098632813,312.861098632812,228.391098632812
-184567.341770962,-2228191.91167149,69.571822,-49.735159,2008_Greenland_TO,20080710_05,11,2008/07/10,19:26:54,1215718028.266,30.062640699184,1759.406,959.46,318.33,216.26,957.547790527344,316.417790527344,214.347790527344
-184567.640689561,-2228161.95821182,69.572089,-49.73523,2008_Greenland_TO,20080710_05,11,2008/07/10,19:26:55,1215718028.651,60.0175918502954,1759.284,959.33,321.73,216.14,957.471740722656,319.871740722656,214.281740722656
-184567.93031427,-2228131.89345037,69.572357,-49.735301,2008_Greenland_TO,20080710_05,11,2008/07/10,19:26:55,1215718029.035,90.0837482995811,1759.186,959.24,325.15,201.96,957.336242675781,323.246242675781,200.056242675781
-184568.25875447,-2228101.8254945,69.572625,-49.735373,2008_Greenland_TO,20080710_05,11,2008/07/10,19:26:55,1215718029.42,120.153497935655,1759.116,959.16,328.6,162.47,957.218322753906,326.658322753906,160.528322753906
-184568.635230779,-2228071.86567248,69.572892,-49.735446,2008_Greenland_TO,20080710_05,11,2008/07/10,19:26:56,1215718029.805,150.115685272266,1759.051,959.1,320.79,165.22,957.088073730469,318.778073730469,163.208073730469
-184569.041297371,-2228041.79132761,69.57316,-49.73552,2008_Greenland_TO,20080710_05,11,2008/07/10,19:26:56,1215718030.19,180.192771383505,1758.993,959.04,312.99,170.79,956.928344726563,310.878344726563,168.678344726563
-184569.4953972,-2228011.82511636,69.573427,-49.735595,2008_Greenland_TO,20080710_05,11,2008/07/10,19:26:57,1215718030.574,210.162423097189,1758.939,958.99,305.19,184.82,956.805053710938,303.005053710938,182.635053710937
-184570.017969511,-2227981.74116106,69.573695,-49.735672,2008_Greenland_TO,20080710_05,11,2008/07/10,19:26:57,1215718030.959,240.250916710117,1758.884,958.86,297.37,218.52,956.673645019531,295.183645019531,216.333645019531
-184570.549686053,-2227951.76856047,69.573962,-49.735749,2008_Greenland_TO,20080710_05,11,2008/07/10,19:26:57,1215718031.343,270.228233286313,1758.823,958.26,311.85,215.41,956.4892578125,310.0792578125,213.6392578125
